0 2070000
2 3.05 0.645 0.55
1.75 3.95 0.585 0.55
3.45 4.4 0.555 0.55
1.45 4.45 0.55 0.55
2.15 4.15 0.555 0.55
2.95 3.95 0.55 0.55
2 4 0.55 0.55
6.8 4.65 0.54 0.55
4.4 4.5 0.54 0.55
6.5 4.3 0.55 0.55
6 4.45 0.51 0.55
7.55 4.6 0.495 0.55
6.65 4.65 0.5 0.55
6.3 5.05 0.485 0.55
6.95 4.9 0.48 0.55
6.45 4.6 0.48 0.55
5 3.95 0.5 0.55
6.15 3.7 0.515 0.55
5.4 3.8 0.5 0.55
4.85 3.9 0.505 0.55
4.05 4 0.505 0.55
4.6 4 0.5 0.55
4.8 3.85 0.52 0.55
3.35 3.9 0.515 0.55
4.1 4 0.51 0.65
2.95 3.55 0.53 0.65
3.4 3.75 0.52 0.65
2.8 3.3 0.55 0.65
2.3 3.55 0.535 0.65
3.45 2.65 0.555 0.65
4.6 2.25 0.56 0.65
4.3 1.15 0.6 0.65
3.35 1.75 0.59 0.65
4.65 1.55 0.615 0.65
5 3.05 0.565 0.65
4.2 3.9 0.53 0.65
5.1 4.35 0.54 0.65
4.5 4.8 0.55 0.65
5 4.8 0.56 0.65
4.15 4.65 0.6 0.65
4.65 4.35 0.575 0.65
4.65 3.8 0.56 0.65
4.35 2.3 0.62 0.65
4.95 1.25 0.665 0.65
4.75 1.2 0.675 0.65
3.45 1.15 0.67 0.65
4.1 1.75 0.64 0.65
3.95 1.3 0.645 0.65
3.65 1.35 0.66 0.74
3.7 2.3 0.635 0.74
5.4 2.8 0.615 0.74
4.2 2.85 0.615 0.74
4.7 3.1 0.6 0.74
5 3.35 0.6 0.74
6.4 3.85 0.605 0.74
5.05 3.6 0.625 0.74
5.55 3.35 0.655 0.74
4.6 3.55 0.66 0.74
4.55 3.65 0.66 0.74
5.55 4.4 0.64 0.74
5.8 5.1 0.615 0.74
5 4.95 0.625 0.74
4.7 5.4 0.57 0.74
2.5 4.95 0.605 0.74
4.8 4.3 0.64 0.74
6.05 2.35 0.82 0.74
3.1 1.7 0.815 0.74
3.2 1.45 0.86 0.74
2.85 1.4 0.835 0.74
3.7 1.3 0.83 0.74
3.5 1.45 0.795 0.74
2.55 0.8 0.84 0.74
3.45 0.5 0.88 0.61
3.7 1.15 0.76 0.61
3.05 1 0.735 0.61
1.85 0.8 0.76 0.61
2.4 0.95 0.75 0.61
1.95 0.5 0.78 0.61
1.35 0.65 0.775 0.61
1.65 0.45 0.83 0.61
1.75 0.3 0.85 0.61
0.75 0.4 0.85 0.61
2.25 1.2 0.78 0.61
2.45 1.6 0.76 0.61
1.75 2 0.75 0.61
1.95 2.3 0.77 0.61
1.65 2.6 0.765 0.61
1.05 2.2 0.785 0.61
1.2 2.2 0.785 0.61
1.15 2.15 0.795 0.61
1.1 2.8 0.815 0.61
1.2 2.85 0.86 0.61
1.5 2.7 0.865 0.61
1.1 2.65 0.85 0.61
1.65 2.75 0.825 0.61
0.7 2.7 0.83 0.61
0.55 2.45 0.845 0.41
1.2 2 0.87 0.41
1 2.15 0.87 0.41
0.8 1.9 0.885 0.41
0.95 2.05 0.875 0.41
0.75 1.95 0.865 0.41
1.3 2.2 0.85 0.41
0.75 2.7 0.84 0.41
1.35 2.7 0.9 0.41
0.65 2.65 0.89 0.41
0.35 2.15 0.825 0.41
0.55 2.3 0.8 0.41
1.7 3.3 0.79 0.41
1.3 5.9 0.66 0.41
3.35 6.25 0.595 0.41
2.7 6 0.595 0.41
1.75 5.35 0.61 0.41
1.8 3.35 0.685 0.41
1.85 2.1 0.745 0.41
1.75 2 0.74 0.41
1.5 2.2 0.765 0.41
1.15 2.85 0.805 0.41
2.1 3.05 0.78 0.41
1.7 3.1 0.805 0.41
1.6 2.9 0.84 0.47
2 2.65 0.865 0.47
1.95 2.8 0.85 0.47
1.8 2.75 0.855 0.47
1.95 2.85 0.86 0.47
1.35 2.85 0.86 0.47
1.9 3.1 0.875 0.47
1.7 3.85 0.83 0.47
1.9 3.35 0.845 0.47
1.15 2.65 0.815 0.47
1.4 1.65 0.785 0.47
0.55 1.85 0.695 0.47
0.65 3.55 0.54 0.47
0.2 5 0.465 0.47
2.9 2.35 0.675 0.47
2.2 2.9 0.61 0.47
2.4 2.45 0.66 0.47
2.7 2.25 0.635 0.47
3.4 2.25 0.62 0.47
3.1 1.75 0.655 0.47
